run,attack_blocked,num_attacked_clients,num_disconnected,num_rerouted,num_restored,mitigation_latency_ms,rerouting_latency_ms,restoration_latency_ms,rerouting_success_rate,restoration_success_rate,packet_loss_rate,throughput,throughput_percentage,num_attackers,num_aps
13,0,22,19,16,14,6.98,13.683179808928589,20.191323914881785,84.21,87.5,13.15,21.05,84.21,2,9
14,1,22,0,0,0,0,0,0,0,0,0,19.74,78.98,2,9
15,1,22,0,0,0,0,0,0,0,0,0,18.41,73.63,2,9
16,1,22,0,0,0,0,0,0,0,0,0,21.37,85.47,2,9
17,0,22,22,18,16,9.14,12.389158630384745,18.772839201479893,81.82,88.89,15.25,19.98,79.91,2,9
18,1,22,0,0,0,0,0,0,0,0,0,23.48,93.9,2,9
19,1,22,0,0,0,0,0,0,0,0,0,20.88,83.52,2,9
20,0,22,19,16,14,9.17,12.806294591975824,19.76130127813226,84.21,87.5,12.96,23.11,92.44,2,9
1,0,22,20,17,15,9.24,15.14819017026588,20.986930559650787,85.0,88.24,13.9,22.03,88.14,1,9
2,1,22,0,0,0,0,0,0,0,0,0,22.91,91.65,1,9
3,0,22,21,17,15,9.17,15.383675695453999,16.95475490403914,80.95,88.24,14.69,21.97,87.89,1,9
4,0,22,22,18,16,9.58,15.713557823488735,17.52984573634827,81.82,88.89,15.38,21.29,85.16,1,9
5,0,22,20,17,15,7.32,14.980201968135084,16.343752598089075,85.0,88.24,13.75,21.17,84.68,1,9
6,1,22,0,0,0,0,0,0,0,0,0,23.26,93.02,1,9
7,1,22,0,0,0,0,0,0,0,0,0,18.12,72.5,1,9
8,0,22,19,16,14,7.1,14.507172384125376,18.853007313117676,84.21,87.5,13.01,20.34,81.37,1,9
9,0,22,19,16,14,9.1,14.34712440172149,15.739061237124655,84.21,87.5,13.0,23.12,92.49,1,9
10,1,22,0,0,0,0,0,0,0,0,0,19.39,77.58,1,9
11,1,22,0,0,0,0,0,0,0,0,0,24.2,96.79,1,9
12,0,22,22,18,16,7.87,11.512258523126171,16.78885157378128,81.82,88.89,15.17,20.4,81.58,1,9
13,1,22,0,0,0,0,0,0,0,0,0,23.63,94.5,1,9
14,0,22,21,17,15,7.81,14.828665878125015,17.03830979997379,80.95,88.24,14.74,22.39,89.55,1,9
15,1,22,0,0,0,0,0,0,0,0,0,18.41,73.63,1,9
16,1,22,0,0,0,0,0,0,0,0,0,21.37,85.47,1,9
17,1,22,0,0,0,0,0,0,0,0,0,22.12,88.49,1,9
18,0,22,21,17,15,9.17,14.85180927183596,20.525781416281635,80.95,88.24,14.57,22.19,88.75,1,9
19,1,22,0,0,0,0,0,0,0,0,0,20.88,83.52,1,9
